time,location,temperature_2m,precipitation,rain,wind_speed_10m,wind_gusts_10m,weather_code
2026-01-01T00:00,Brussels,0.6,0.0,0.0,16.3,32.4,0
2026-01-01T01:00,Brussels,0.2,0.0,0.0,16.5,32.8,1
2026-01-01T02:00,Brussels,0.3,0.0,0.0,16.2,33.8,1
2026-01-01T03:00,Brussels,0.4,0.0,0.0,17.3,35.3,1
2026-01-01T04:00,Brussels,0.2,0.0,0.0,17.8,36.7,0
2026-01-01T05:00,Brussels,0.0,0.0,0.0,17.4,36.4,1
2026-01-01T06:00,Brussels,0.5,0.0,0.0,19.3,40.0,1
2026-01-01T07:00,Brussels,1.1,0.0,0.0,20.5,43.2,0
2026-01-01T08:00,Brussels,1.3,0.0,0.0,20.5,45.0,3
2026-01-01T09:00,Brussels,1.7,0.0,0.0,21.9,47.2,3
2026-01-01T10:00,Brussels,2.0,0.0,0.0,22.9,50.0,3
2026-01-01T11:00,Brussels,2.7,0.0,0.0,21.6,50.0,3
2026-01-01T12:00,Brussels,3.4,0.0,0.0,21.8,47.5,3
2026-01-01T13:00,Brussels,4.2,0.0,0.0,20.9,48.2,3
2026-01-01T14:00,Brussels,4.3,0.0,0.0,20.5,50.8,3
2026-01-01T15:00,Brussels,4.3,0.0,0.0,19.7,47.2,3
2026-01-01T16:00,Brussels,4.4,0.1,0.1,18.3,43.2,51
2026-01-01T17:00,Brussels,4.2,0.1,0.1,19.2,41.8,51
2026-01-01T18:00,Brussels,4.0,0.0,0.0,19.8,43.6,3
2026-01-01T19:00,Brussels,3.9,0.0,0.0,20.4,44.6,3
2026-01-01T20:00,Brussels,3.6,0.0,0.0,20.2,45.7,3
2026-01-01T21:00,Brussels,3.6,0.1,0.1,20.9,45.4,51
2026-01-01T22:00,Brussels,3.3,0.1,0.1,20.1,45.0,51
2026-01-01T23:00,Brussels,2.7,0.3,0.3,21.3,44.6,51
2026-01-02T00:00,Brussels,2.7,0.3,0.3,21.9,46.1,51
2026-01-02T01:00,Brussels,2.6,0.2,0.2,22.8,47.9,51
2026-01-02T02:00,Brussels,2.8,0.2,0.2,21.6,49.0,51
2026-01-02T03:00,Brussels,2.1,0.3,0.2,19.5,44.6,71
2026-01-02T04:00,Brussels,2.2,0.0,0.0,19.8,42.5,1
2026-01-02T05:00,Brussels,2.1,0.0,0.0,19.5,48.6,0
2026-01-02T06:00,Brussels,1.7,0.0,0.0,18.7,41.4,1
2026-01-02T07:00,Brussels,1.4,0.3,0.1,16.8,39.6,71
2026-01-02T08:00,Brussels,0.9,0.0,0.0,16.3,35.6,3
2026-01-02T09:00,Brussels,1.1,0.1,0.0,17.6,37.8,71
2026-01-02T10:00,Brussels,1.0,0.1,0.1,16.4,37.8,51
2026-01-02T11:00,Brussels,1.4,0.1,0.1,16.5,36.0,51
2026-01-02T12:00,Brussels,2.1,0.0,0.0,17.5,38.9,1
2026-01-02T13:00,Brussels,2.5,0.1,0.0,16.4,44.3,71
2026-01-02T14:00,Brussels,2.7,0.1,0.1,17.0,37.8,51
2026-01-02T15:00,Brussels,2.8,0.0,0.0,18.1,43.6,1
2026-01-02T16:00,Brussels,2.7,0.0,0.0,18.3,50.8,2
2026-01-02T17:00,Brussels,2.3,0.0,0.0,17.5,41.0,2
2026-01-02T18:00,Brussels,1.8,0.0,0.0,17.8,40.3,3
2026-01-02T19:00,Brussels,1.3,0.8,0.0,14.1,38.9,73
2026-01-02T20:00,Brussels,1.0,0.3,0.0,14.1,30.2,73
2026-01-02T21:00,Brussels,0.3,0.0,0.0,13.7,29.5,2
2026-01-02T22:00,Brussels,-0.1,0.0,0.0,14.8,30.6,1
2026-01-02T23:00,Brussels,-0.2,0.0,0.0,13.9,30.6,0
2026-01-03T00:00,Brussels,-0.6,0.0,0.0,14.0,28.4,0
2026-01-03T01:00,Brussels,-0.9,0.0,0.0,14.1,28.4,0
2026-01-03T02:00,Brussels,0.3,0.0,0.0,14.0,30.6,1
2026-01-03T03:00,Brussels,-0.1,0.0,0.0,15.5,32.0,3
2026-01-03T04:00,Brussels,0.2,0.0,0.0,17.3,37.1,3
2026-01-03T05:00,Brussels,0.5,0.0,0.0,18.0,39.2,3
2026-01-03T06:00,Brussels,0.3,0.0,0.0,17.3,39.2,1
2026-01-03T07:00,Brussels,-1.1,0.0,0.0,15.9,37.8,2
2026-01-03T08:00,Brussels,-0.4,0.0,0.0,16.8,34.9,2
2026-01-03T09:00,Brussels,-0.4,0.1,0.0,16.6,36.4,71
2026-01-03T10:00,Brussels,-0.4,0.1,0.0,15.3,36.0,71
2026-01-03T11:00,Brussels,0.0,0.1,0.0,15.9,34.6,71
2026-01-03T12:00,Brussels,1.1,0.0,0.0,16.7,38.9,0
2026-01-03T13:00,Brussels,1.5,0.0,0.0,20.0,43.9,1
2026-01-03T14:00,Brussels,1.4,0.0,0.0,21.1,46.4,2
2026-01-03T15:00,Brussels,1.3,0.0,0.0,20.0,48.2,3
2026-01-03T16:00,Brussels,1.5,0.0,0.0,14.9,50.8,3
2026-01-03T17:00,Brussels,1.0,0.0,0.0,15.3,36.4,3
2026-01-03T18:00,Brussels,0.2,0.3,0.0,12.4,33.1,73
2026-01-03T19:00,Brussels,-0.5,0.1,0.0,9.1,25.9,71
2026-01-03T20:00,Brussels,0.8,3.5,0.0,12.8,18.4,75
2026-01-03T21:00,Brussels,0.5,0.3,0.0,13.9,28.1,73
2026-01-03T22:00,Brussels,0.6,0.5,0.0,14.8,30.2,73
2026-01-03T23:00,Brussels,0.0,1.8,0.0,15.1,31.3,75
2026-01-04T00:00,Brussels,-0.4,0.0,0.0,15.4,31.3,2
2026-01-04T01:00,Brussels,-0.7,0.0,0.0,16.6,33.8,1
2026-01-04T02:00,Brussels,-0.3,0.0,0.0,15.6,33.5,1
2026-01-04T03:00,Brussels,-0.6,0.0,0.0,15.9,31.7,1
2026-01-04T04:00,Brussels,-0.9,0.0,0.0,15.7,32.0,1
2026-01-04T05:00,Brussels,-1.4,0.0,0.0,15.7,32.0,1
2026-01-04T06:00,Brussels,-1.5,0.0,0.0,15.9,32.4,0
2026-01-04T07:00,Brussels,-1.7,0.0,0.0,15.9,32.8,0
2026-01-04T08:00,Brussels,-1.6,0.0,0.0,15.7,32.4,1
2026-01-04T09:00,Brussels,-2.1,0.0,0.0,14.9,32.0,1
2026-01-04T10:00,Brussels,-2.6,0.0,0.0,14.5,30.6,0
2026-01-04T11:00,Brussels,-2.4,0.0,0.0,14.9,29.9,0
2026-01-04T12:00,Brussels,-1.3,0.0,0.0,13.7,31.7,1
2026-01-04T13:00,Brussels,-0.7,0.0,0.0,13.2,30.2,1
2026-01-04T14:00,Brussels,0.5,0.0,0.0,12.7,30.6,3
2026-01-04T15:00,Brussels,0.9,0.1,0.0,14.3,29.5,71
2026-01-04T16:00,Brussels,0.8,0.0,0.0,11.6,30.6,2
2026-01-04T17:00,Brussels,0.5,0.0,0.0,10.5,24.8,1
2026-01-04T18:00,Brussels,-0.9,0.0,0.0,10.6,22.0,0
2026-01-04T19:00,Brussels,-1.7,0.0,0.0,12.1,23.4,0
2026-01-04T20:00,Brussels,-1.7,0.0,0.0,12.5,24.8,3
2026-01-04T21:00,Brussels,-1.9,0.0,0.0,12.4,24.8,2
2026-01-04T22:00,Brussels,-2.3,0.0,0.0,11.8,24.8,0
2026-01-04T23:00,Brussels,-2.8,0.0,0.0,11.6,23.4,0
2026-01-05T00:00,Brussels,-3.1,0.0,0.0,11.8,23.4,0
2026-01-05T01:00,Brussels,-3.1,0.0,0.0,12.0,23.8,0
2026-01-05T02:00,Brussels,-3.2,0.0,0.0,11.6,24.5,0
2026-01-05T03:00,Brussels,-3.5,0.0,0.0,12.1,23.8,0
2026-01-05T04:00,Brussels,-3.7,0.0,0.0,11.7,23.8,0
2026-01-05T05:00,Brussels,-3.8,0.0,0.0,12.1,23.8,0
2026-01-05T06:00,Brussels,-3.6,0.0,0.0,12.5,24.5,0
2026-01-05T07:00,Brussels,-3.5,0.0,0.0,13.4,26.6,1
2026-01-05T08:00,Brussels,-3.0,0.0,0.0,14.2,27.7,3
